method,dataset,dataset_name,split,split_protocol,likelihood,status,error,n_observations,n_features,n_train,n_test,outer_split_seed,inner_split_seed,model_seed,batch_seed,validation_seed,test_seed,learning_rate,ess_multiplier,best_epoch,stopped_early,selection_seconds,refit_seconds,evaluation_seconds,total_seconds,y_center,y_scale,checkpoint,lpd_standardized,nll_standardized,lpd_original,nll_original,rmse_standardized,rmse_original,coverage_50,coverage_80,coverage_95,mean_total_variance_standardized,mean_epistemic_variance_standardized,mean_aleatoric_variance_standardized,mean_total_variance_original,mean_epistemic_variance_original,mean_aleatoric_variance_original
IVON,energy,Energy,9,repeated-holdout-v1,homoscedastic,success,,768,8,691,77,20260734,21260734,20291628,20291638,20291648,20291658,0.1,100,500,false,1.0765609741210938,0.9769978523254395,0.0010008811950683594,2.0545597076416016,22.313661360347307,10.096224623465739,checkpoints/energy_split09_homoscedastic.jld2,-0.9293870553318309,0.9293870553318309,-3.2415486096416806,3.2415486096416806,0.1238624785931135,1.2505434168257796,1.0,1.0,1.0,1.0057234807886,0.005723480788599956,1.0,102.51716751674014,0.5834158692642474,101.93375164747594
IVON,energy,Energy,10,repeated-holdout-v1,homoscedastic,success,,768,8,691,77,20260735,21260735,20291728,20291738,20291748,20291758,0.1,100,485,false,1.1732609272003174,1.1753590106964111,0.0009791851043701172,2.3495991230010986,22.36574529667148,10.032421376859043,checkpoints/energy_split10_homoscedastic.jld2,-0.937612703997266,0.937612703997266,-3.243434690281141,3.243434690281141,0.18913005548797776,1.897432379408911,1.0,1.0,1.0,1.0016410946692442,0.001641094669244701,1.0,100.81465400578699,0.1651753229286969,100.64947868285824
IVON,energy,Energy,11,repeated-holdout-v1,homoscedastic,success,,768,8,691,77,20260736,21260736,20291828,20291838,20291848,20291858,0.1,100,500,false,1.3087570667266846,1.0917890071868896,0.0009829998016357422,2.40152907371521,22.247945007235874,10.147066391356402,checkpoints/energy_split11_homoscedastic.jld2,-0.9316812822110715,0.9316812822110715,-3.2488659204408257,3.2488659204408257,0.15486276887137115,1.5714028113105287,1.0,1.0,1.0,1.0015377569256445,0.0015377569256447552,1.0,103.12128834980763,0.15833199921298552,102.9629563505947
IVON,energy,Energy,12,repeated-holdout-v1,homoscedastic,success,,768,8,691,77,20260737,21260737,20291928,20291938,20291948,20291958,0.1,100,480,false,1.3701059818267822,1.0565099716186523,0.0013260841369628906,2.4279420375823975,22.20076700434152,9.973791880890415,checkpoints/energy_split12_homoscedastic.jld2,-0.9456110109020852,0.9456110109020852,-3.245571851645332,3.245571851645332,0.22551469884934555,2.249236633579279,1.0,1.0,1.0,1.0025994015118354,0.002599401511835505,1.0,99.73510391144963,0.25857942813407214,99.4765244833155
IVON,energy,Energy,13,repeated-holdout-v1,homoscedastic,success,,768,8,691,77,20260738,21260738,20292028,20292038,20292048,20292058,0.1,100,490,false,1.2154490947723389,1.135878086090088,0.0013589859008789062,2.3526861667633057,22.427554269175097,10.16953157306318,checkpoints/energy_split13_homoscedastic.jld2,-0.937385351486978,0.937385351486978,-3.2567815008075303,3.2567815008075303,0.18325033680596878,1.8635700993902917,1.0,1.0,1.0,1.0034248789966687,0.003424878996668636,1.0,103.77357125196347,0.35419883643459654,103.41937241552894
IVON,energy,Energy,14,repeated-holdout-v1,homoscedastic,success,,768,8,691,77,20260739,21260739,20292128,20292138,20292148,20292158,0.1,100,445,false,1.1753320693969727,1.086195945739746,0.0009341239929199219,2.2624621391296387,22.099971056439934,10.145519165109084,checkpoints/energy_split14_homoscedastic.jld2,-0.9302509893657914,0.9302509893657914,-3.2472831358151355,3.2472831358151355,0.14088075787579643,1.4293084182050049,1.0,1.0,1.0,1.0028217387473144,0.0028217387473140295,1.0,103.22200509831316,0.2904459687174255,102.93155912959568
IVON,energy,Energy,15,repeated-holdout-v1,homoscedastic,success,,768,8,691,77,20260740,21260740,20292228,20292238,20292248,20292258,0.1,100,495,false,1.104490041732788,1.0476298332214355,0.001004934310913086,2.1531248092651367,22.33791606367581,10.058254047870092,checkpoints/energy_split15_homoscedastic.jld2,-0.950984712481249,0.950984712481249,-3.2593783082009704,3.2593783082009704,0.25110428154052605,2.525670633534765,0.987012987012987,1.0,1.0,1.0010854218086267,0.0010854218086267546,1.0,101.27828496005364,0.1098104685585683,101.16847449149503
IVON,energy,Energy,16,repeated-holdout-v1,homoscedastic,success,,768,8,691,77,20260741,21260741,20292328,20292338,20292348,20292358,0.1,100,500,false,1.4220681190490723,1.4795050621032715,0.0010120868682861328,2.90258526802063,22.241519536903027,10.109318552736612,checkpoints/energy_split16_homoscedastic.jld2,-0.9348019870269785,0.9348019870269785,-3.2482596144975076,3.2482596144975076,0.17275571111508742,1.7464425552298182,1.0,1.0,1.0,1.001962524031986,0.001962524031985666,1.0,102.39888826287464,0.20056666216998273,102.19832160070469
IVON,energy,Energy,17,repeated-holdout-v1,homoscedastic,success,,768,8,691,77,20260742,21260742,20292428,20292438,20292448,20292458,0.1,100,500,false,1.1932599544525146,1.1978459358215332,0.0010340213775634766,2.3921399116516113,22.163994211287978,10.034425250611593,checkpoints/energy_split17_homoscedastic.jld2,-0.9273714380008318,0.9273714380008318,-3.23339314413072,3.23339314413072,0.11850106209577062,1.1890900223395173,1.0,1.0,1.0,1.002865025675998,0.0028650256759979666,1.0,100.97816865758527,0.288478547473748,100.68969011011156
IVON,energy,Energy,18,repeated-holdout-v1,homoscedastic,success,,768,8,691,77,20260743,21260743,20292528,20292538,20292548,20292558,0.1,100,500,false,1.0043399333953857,0.8701150417327881,0.0009989738464355469,1.8754539489746094,22.266874095513728,10.120939224907442,checkpoints/energy_split18_homoscedastic.jld2,-0.933342759662824,0.933342759662824,-3.2479492280009947,3.2479492280009947,0.15907508480067614,1.6099892863501222,1.0,1.0,1.0,1.0036234349931803,0.0036234349931801844,1.0,102.80457159941281,0.3711608051427589,102.4334107942701
